Elements;rand;auf;ab;50;50;3;rand
11;0;0;0;;;;
61;0;0;0;;;;
111;1;2;0;;;;
161;2;4;0;;;;
211;3;8;0;;;;
261;6;15;0;;;;
311;10;24;0;;;;
361;15;37;0;;;;
411;21;57;0;;;;
461;27;83;0;;;;
511;42;111;0;;;;
561;48;145;0;;;;
611;67;191;0;;;;
661;85;244;0;;;;
711;105;301;0;;;;
761;136;370;0;;;;
811;166;461;0;;;;
861;181;543;0;;;;
911;229;639;0;;;;
961;259;740;0;;;;
1011;315;869;0;;;;
1061;366;1000;0;;;;
1111;421;1155;0;;;;
1161;454;1318;0;;;;
1211;538;1497;0;;;;
1261;568;1693;0;;;;
1311;724;1901;0;;;;
1361;789;2130;0;;;;
1411;821;2360;0;;;;
1461;865;2606;0;;;;
1511;937;2932;0;;;;
1561;1090;3308;0;;;;
1611;1226;3609;0;;;;
1661;1366;3978;0;;;;
1711;1437;4253;0;;;;
1761;1591;4574;0;;;;
1811;1684;5071;0;;;;
1861;1833;5509;0;;;;
1911;1970;5870;0;;;;
1961;2221;6320;0;;;;
2011;2380;6768;0;;;;
2061;2520;7417;0;;;;
2111;2677;7881;0;;;;
2161;2933;8535;0;;;;
2211;3031;8909;0;;;;
2261;3280;9507;0;;;;
2311;3625;10237;0;;;;
2361;3696;10958;0;;;;
2411;3841;11613;0;;;;
2461;4291;12373;0;;;;
