Elements;rand -random;auf - left;10;50;150;3;rand;random;0
11;0;0;;;;;;;
61;0;0;;;;;;;
111;1;0;;;;;;;
161;1;0;;;;;;;
211;1;1;;;;;;;
261;1;1;;;;;;;
311;2;1;;;;;;;
361;2;2;;;;;;;
411;2;3;;;;;;;
461;2;3;;;;;;;
511;2;4;;;;;;;
561;3;5;;;;;;;
611;3;6;;;;;;;
661;4;6;;;;;;;
711;4;7;;;;;;;
761;4;8;;;;;;;
811;5;10;;;;;;;
861;5;11;;;;;;;
911;5;12;;;;;;;
961;5;13;;;;;;;
1011;6;15;;;;;;;
1061;6;17;;;;;;;
1111;6;17;;;;;;;
1161;7;19;;;;;;;
1211;7;21;;;;;;;
1261;8;23;;;;;;;
1311;8;26;;;;;;;
1361;8;28;;;;;;;
1411;9;29;;;;;;;
1461;10;30;;;;;;;
1511;10;33;;;;;;;
1561;10;37;;;;;;;
1611;11;38;;;;;;;
1661;10;40;;;;;;;
1711;11;42;;;;;;;
1761;11;45;;;;;;;
1811;12;47;;;;;;;
1861;12;51;;;;;;;
1911;13;53;;;;;;;
1961;13;57;;;;;;;
2011;12;58;;;;;;;
2061;14;62;;;;;;;
2111;13;65;;;;;;;
2161;14;67;;;;;;;
2211;16;70;;;;;;;
2261;15;74;;;;;;;
2311;16;81;;;;;;;
2361;17;88;;;;;;;
2411;17;89;;;;;;;
2461;16;93;;;;;;;
2511;17;96;;;;;;;
2561;18;102;;;;;;;
2611;20;114;;;;;;;
2661;18;123;;;;;;;
2711;18;125;;;;;;;
2761;19;129;;;;;;;
2811;20;135;;;;;;;
2861;19;137;;;;;;;
2911;20;141;;;;;;;
2961;20;135;;;;;;;
3011;21;134;;;;;;;
3061;20;136;;;;;;;
3111;22;141;;;;;;;
3161;21;146;;;;;;;
3211;24;153;;;;;;;
3261;23;157;;;;;;;
3311;23;160;;;;;;;
3361;24;170;;;;;;;
3411;24;172;;;;;;;
3461;25;175;;;;;;;
3511;24;182;;;;;;;
3561;25;189;;;;;;;
3611;25;194;;;;;;;
3661;27;199;;;;;;;
3711;26;204;;;;;;;
3761;27;211;;;;;;;
3811;26;218;;;;;;;
3861;28;225;;;;;;;
3911;29;228;;;;;;;
3961;28;234;;;;;;;
4011;28;241;;;;;;;
4061;30;250;;;;;;;
4111;29;258;;;;;;;
4161;30;262;;;;;;;
4211;30;273;;;;;;;
4261;31;287;;;;;;;
4311;30;296;;;;;;;
4361;31;293;;;;;;;
4411;31;306;;;;;;;
4461;33;293;;;;;;;
4511;36;332;;;;;;;
4561;32;341;;;;;;;
4611;34;339;;;;;;;
4661;34;349;;;;;;;
4711;33;357;;;;;;;
4761;37;364;;;;;;;
4811;35;335;;;;;;;
4861;39;342;;;;;;;
4911;37;358;;;;;;;
4961;40;360;;;;;;;
5011;40;364;;;;;;;
5061;37;372;;;;;;;
5111;38;378;;;;;;;
5161;40;390;;;;;;;
5211;39;396;;;;;;;
5261;38;401;;;;;;;
5311;40;411;;;;;;;
5361;43;419;;;;;;;
5411;39;429;;;;;;;
5461;40;434;;;;;;;
5511;42;442;;;;;;;
5561;43;462;;;;;;;
5611;42;458;;;;;;;
5661;45;481;;;;;;;
5711;44;477;;;;;;;
5761;46;486;;;;;;;
5811;45;493;;;;;;;
5861;47;507;;;;;;;
5911;47;512;;;;;;;
5961;46;518;;;;;;;
6011;46;534;;;;;;;
6061;46;542;;;;;;;
6111;47;552;;;;;;;
6161;47;566;;;;;;;
6211;50;567;;;;;;;
6261;51;596;;;;;;;
6311;52;591;;;;;;;
6361;55;605;;;;;;;
6411;51;610;;;;;;;
6461;54;616;;;;;;;
6511;52;628;;;;;;;
6561;51;636;;;;;;;
6611;57;649;;;;;;;
6661;51;669;;;;;;;
6711;60;671;;;;;;;
6761;55;676;;;;;;;
6811;55;696;;;;;;;
6861;56;714;;;;;;;
6911;56;714;;;;;;;
6961;55;728;;;;;;;
7011;57;795;;;;;;;
7061;57;754;;;;;;;
7111;58;782;;;;;;;
7161;56;775;;;;;;;
7211;59;787;;;;;;;
7261;62;794;;;;;;;
7311;68;831;;;;;;;
7361;61;919;;;;;;;
7411;64;839;;;;;;;
7461;65;866;;;;;;;
